price,address,sqft_living,latitude,longitude,bedrooms,bathrooms,balcony,car_garage,type_of_building,price_sqft
5600000,"Noida Extension, Noida, Delhi NCR",1350,28.60885,77.46056,3,3,,,Flat,4148
8800000,"Sector 79, Gurgaon, Delhi NCR",1490,28.37423557,76.95241631,3,3,,,Flat,5906
16500000,"Vaishali, Ghaziabad, Delhi NCR",2385,28.645769,77.38511,4,5,,1,Flat,6918
3810000,"Link Road, F Block, Sector 50, Noida, Uttar Pradesh, Sector 1, Greater Noida, Delhi NCR",1050,28.566914,77.436434,2,2,3,1,Flat,3628
6200000,"Jaypee Pavilion Court Sector 128, Noida, Sector 128, Noida, Delhi NCR",1350,28.520732,77.356491,2,2,3,1,Flat,4592
3700000,"tower 2, 6th floor, Crossings Republik, Ghaziabad, Delhi NCR",1150,28.62804,77.437809,2,2,3,,Flat,3217
3270000,"Nirala Aspire, GH03, Sector 16C, Hundal, Greater Noida, Uttar Pradesh 201306, Noida Extension Block C, Noida, Delhi NCR",890,28.610645,77.455837,2,2,3,1,Flat,3674
3990000,"Suncity Avenue 102, Sector 102, Gurgaon Bang on Dwarka Expressway having all Facilities of a gated Society., Sector 102, Gurgaon, Delhi NCR",850,28.471233,76.969597,2,2,1,1,Flat,4694
3500000,"Sector 2, Greater Noida, Sector 2, Greater Noida, Delhi NCR",960,28.5814311,77.4528192,2,2,2,,Flat,3645
5500000,"Gaur City 5th Avenue, Noida Extension, Noida, Noida Extension, Noida, Delhi NCR",1400,28.614181,77.427713,3,3,4,1,Flat,3928
7300000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",850,28.72407531738281,77.0955810546875,3,2,1,2,Flat,8588
7700000,"Gurgaon - Faridabad Road, Gurgaon, Delhi NCR",1250,28.436305,77.13605,2,2,2,,Flat,6160
10500000,"Sector 110A, Gurgaon, Chandan Vihar, Gurgaon, Delhi NCR",1615,28.513139724731445,77.02595520019531,3,3,3,,Flat,6501
7200000,"H-024, Gulshan Vivante, Sector-137, Noida, Sector 137, Noida, Delhi NCR",1200,28.5074613813646,77.4078166697626,2,2,3,,Flat,6000
7000000,"G T Road, Ghaziabad, Delhi NCR",1690,28.679009,77.3492951427093,3,3,,,Flat,4142
9500000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1000,28.721435546875,77.10701751708984,3,2,1,2,Individual House,9500
15000000,"Sector 24 Rohini, New Delhi - Rohini, Delhi NCR",1450,28.72721290588379,77.09606170654297,4,3,1,2,Individual House,10344
4800000,"Noida Extension, Noida, Delhi NCR",1175,28.616078045953845,77.42810224734058,2,2,,,Flat,4085
5100000,"NeelPadam Kunj, Vaishali, Sector 1, Ghaziabad, Sector 1 Vaishali, Ghaziabad, Delhi NCR",1087,28.6443099975586,77.331787109375,2,2,2,1,Flat,4691
14000000,"Sector 45, Noida, Sector 45, Noida, Delhi NCR",1845,28.5469297107013,77.3543872945106,3,3,3,2,Flat,7588
6250000,"Sector 37C, Gurgaon, Delhi NCR",1400,28.449384,76.98441,2,2,2,,Flat,4464
8700000,"Sushant Lok 2, Gurgaon, Delhi NCR",1600,28.423049,77.08741,3,2,1,,Flat,5437
13000000,"Sector 29, Noida, Delhi NCR",1950,28.5697371550333,77.3324116681809,3,3,2,,Individual House,6666
15000000,"flat number 703, kalypso tower 4, jaypee wish town noida, sector 128, Sector 128, Noida, Delhi NCR",1800,28.529146,77.355843,2,3,1,,Flat,8333
5500000,"Noida Extension, Noida., Noida Extension, Noida, Delhi NCR",1440,28.587499354879053,77.44316979301459,3,2,5,1,Flat,3819
