id,date_sold,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,condition,sqft_basement,yr_built,year_renovated,zipcode,latitude,longitude
7129300520,13/10/2014,221900,3,1,1180,5650,1,3,0,1955,0,98178,47.5112,-122.257
6414100192,09/12/2014,538000,3,2,2570,7242,2,3,400,1951,1991,98125,47.721,-122.319
5631500400,25/02/2015,180000,2,1,770,10000,1,3,0,1933,0,98028,47.7379,-122.233
2487200875,09/12/2014,604000,4,3,1960,5000,1,5,910,1965,0,98136,47.5208,-122.393
1954400510,18/02/2015,510000,3,2,1680,8080,1,3,0,1987,0,98074,47.6168,-122.045
7237550310,12/05/2014,1225000,4,4,5420,101930,1,3,1530,2001,0,98053,47.6561,-122.005
1321400060,27/06/2014,257500,3,2,1715,6819,2,3,0,1995,0,98003,47.3097,-122.327
2008000270,15/01/2015,291850,3,1,1060,9711,1,3,0,1963,0,98198,47.4095,-122.315
2414600126,15/04/2015,229500,3,1,1780,7470,1,3,730,1960,0,98146,47.5123,-122.337
3793500160,12/03/2015,323000,3,2,1890,6560,2,3,0,2003,0,98038,47.3684,-122.031
1736800520,03/04/2015,662500,3,2,3560,9796,1,3,1700,1965,0,98007,47.6007,-122.145
9212900260,27/05/2014,468000,2,1,1160,6000,1,4,300,1942,0,98115,47.69,-122.292
114101516,28/05/2014,310000,3,1,1430,19901,1,4,0,1927,0,98028,47.7558,-122.229
6054650070,07/10/2014,400000,3,1,1370,9680,1,4,0,1977,0,98074,47.6127,-122.045
1175000570,12/03/2015,530000,5,2,1810,4850,1,3,0,1900,0,98107,47.67,-122.394
9297300055,24/01/2015,650000,4,3,2950,5000,2,3,970,1979,0,98126,47.5714,-122.375
1875500060,31/07/2014,395000,3,2,1890,14040,2,3,0,1994,0,98019,47.7277,-121.962
6865200140,29/05/2014,485000,4,1,1600,4300,1,4,0,1916,0,98103,47.6648,-122.343
16000397,05/12/2014,189000,2,1,1200,9850,1,4,0,1921,0,98002,47.3089,-122.21
7983200060,24/04/2015,230000,3,1,1250,9774,1,4,0,1969,0,98003,47.3343,-122.306
6300500875,14/05/2014,385000,4,1,1620,4980,1,4,760,1947,0,98133,47.7025,-122.341
2524049179,26/08/2014,2000000,3,2,3050,44867,1,3,720,1968,0,98040,47.5316,-122.233
7137970340,03/07/2014,285000,5,2,2270,6300,2,3,0,1995,0,98092,47.3266,-122.169
8091400200,16/05/2014,252700,2,1,1070,9643,1,3,0,1985,0,98030,47.3533,-122.166
3814700200,20/11/2014,329000,3,2,2450,6500,2,4,0,1985,0,98030,47.3739,-122.172
1202000200,03/11/2014,233000,3,2,1710,4697,1,5,0,1941,0,98002,47.3048,-122.218
1794500383,26/06/2014,937000,3,1,2450,2691,2,3,700,1915,0,98119,47.6386,-122.36
3303700376,01/12/2014,667000,3,1,1400,1581,1,5,0,1909,0,98112,47.6221,-122.314
5101402488,24/06/2014,438000,3,1,1520,6380,1,3,730,1948,0,98115,47.695,-122.304
1873100390,02/03/2015,719000,4,2,2570,7173,2,3,0,2005,0,98052,47.7073,-122.11
8562750320,10/11/2014,580500,3,2,2320,3980,2,3,0,2003,0,98027,47.5391,-122.07
2426039314,01/12/2014,280000,2,1,1190,1265,3,3,0,2005,0,98133,47.7274,-122.357
461000390,24/06/2014,687500,4,1,2330,5000,1,4,820,1929,0,98117,47.6823,-122.368
7589200193,10/11/2014,535000,3,1,1090,3000,1,4,0,1929,0,98117,47.6889,-122.375
7955080270,03/12/2014,322500,4,2,2060,6659,1,3,780,1981,0,98058,47.4276,-122.157
9547205180,13/06/2014,696000,3,2,2300,3060,1,3,790,1930,2002,98115,47.6827,-122.31
9435300030,28/05/2014,550000,4,1,1660,34848,1,1,730,1933,0,98052,47.6621,-122.132
2768000400,30/12/2014,640000,4,2,2360,6000,2,4,0,1904,0,98107,47.6702,-122.362
7895500070,13/02/2015,240000,4,1,1220,8075,1,2,330,1969,0,98001,47.3341,-122.282
2078500320,20/06/2014,605000,4,2,2620,7553,2,3,0,1996,0,98056,47.5301,-122.18
5547700270,15/07/2014,625000,4,2,2570,5520,2,3,0,2000,0,98074,47.6145,-122.027
