suburb,address,type,price,date_sold,zipcode,bedrooms,bathrooms,car_garage,sqft_living,year_built,latitude,longitude
Abbotsford,85 Turner St,h,888000.0,12/2016,3067.0,2.0,1.0,1.0,202.0,,-37.7996,144.9984
Abbotsford,25 Bloomburg St,h,621000.0,02/2016,3067.0,2.0,1.0,0.0,156.0,1900.0,-37.8079,144.9934
Abbotsford,5 Charles St,h,879000.0,03/2017,3067.0,3.0,2.0,0.0,134.0,1900.0,-37.8093,144.9944
Abbotsford,40 Federation La,h,510000.0,03/2017,3067.0,3.0,2.0,1.0,94.0,,-37.7969,144.9969
Abbotsford,55a Park St,h,960000.0,06/2016,3067.0,3.0,1.0,2.0,120.0,2014.0,-37.8072,144.9941
Abbotsford,129 Charles St,h,564600.0,05/2016,3067.0,2.0,1.0,0.0,181.0,,-37.8041,144.9953
Abbotsford,124 Yarra St,h,1125600.0,05/2016,3067.0,4.0,2.0,0.0,245.0,1910.0,-37.8024,144.9993
Abbotsford,98 Charles St,h,981600.0,10/2016,3067.0,2.0,1.0,2.0,256.0,1890.0,-37.806,144.9954
Abbotsford,217 Langridge St,h,600000.0,10/2016,3067.0,,,,,,,
Abbotsford,18a Mollison St,t,447000.0,10/2016,3067.0,,,,,,,
Abbotsford,6/241 Nicholson St,u,180000.0,10/2016,3067.0,1.0,1.0,1.0,0.0,,-37.8008,144.9973
Abbotsford,10 Valiant St,h,658200.0,10/2016,3067.0,3.0,1.0,2.0,220.0,1900.0,-37.801,144.9989
Abbotsford,403/609 Victoria St,u,325200.0,10/2016,3067.0,,,,,,,
Abbotsford,25/84 Trenerry Cr,u,456000.0,12/2016,3067.0,,,,,,,
Abbotsford,106/119 Turner St,u,288600.0,12/2016,3067.0,,,,,,,
Abbotsford,411/8 Grosvenor St,u,420000.0,11/2016,3067.0,2.0,2.0,1.0,0.0,,-37.811,145.0067
Abbotsford,40 Nicholson St,h,810000.0,11/2016,3067.0,3.0,2.0,2.0,214.0,2005.0,-37.8085,144.9964
Abbotsford,123/56 Nicholson St,u,450000.0,11/2016,3067.0,2.0,2.0,1.0,0.0,2009.0,-37.8078,144.9965
Abbotsford,22 Park St,h,1191000.0,11/2016,3067.0,,,,,,-37.8084,144.9942
Abbotsford,13/84 Trenerry Cr,u,300000.0,11/2016,3067.0,,,,,,,
Abbotsford,45 William St,h,703500.0,08/2016,3067.0,2.0,1.0,1.0,195.0,,-37.8084,144.9973
Abbotsford,7/20 Abbotsford St,u,264600.0,05/2016,3067.0,1.0,1.0,1.0,0.0,,-37.8016,144.9988
Abbotsford,16 William St,h,786000.0,10/2016,3067.0,2.0,1.0,2.0,238.0,1890.0,-37.809,144.9976
Abbotsford,42 Henry St,h,720000.0,07/2016,3067.0,3.0,2.0,1.0,113.0,1880.0,-37.8056,144.993
Abbotsford,250 Langridge St,t,508200.0,07/2016,3067.0,,,,,,,
Abbotsford,78 Yarra St,h,705900.0,07/2016,3067.0,2.0,1.0,1.0,138.0,1890.0,-37.8021,144.9965
Abbotsford,196 Nicholson St,h,573000.0,09/2016,3067.0,3.0,1.0,0.0,183.0,,-37.8022,144.9975
Abbotsford,42 Valiant St,h,534000.0,09/2016,3067.0,2.0,1.0,1.0,150.0,1985.0,-37.8011,145.0004
Abbotsford,3/72 Charles St,h,798000.0,03/2017,3067.0,4.0,2.0,2.0,780.0,1900.0,-37.8073,144.9952
Abbotsford,13/11 Nicholson St,t,540000.0,03/2017,3067.0,3.0,2.0,2.0,0.0,2010.0,-37.8093,144.9959
Abbotsford,138/56 Nicholson St,u,654000.0,03/2017,3067.0,3.0,2.0,2.0,4290.0,,-37.8078,144.9965
Abbotsford,6/219 Nicholson St,u,300000.0,06/2016,3067.0,2.0,1.0,1.0,0.0,1970.0,-37.8015,144.9972
Abbotsford,52a William St,h,660000.0,06/2016,3067.0,2.0,2.0,1.0,124.0,2013.0,-37.8079,144.9977
Abbotsford,49 Park St,h,789000.0,11/2016,3067.0,2.0,1.0,0.0,147.0,1900.0,-37.808,144.994
Abbotsford,65/80 Trenerry Cr,u,288000.0,11/2016,3067.0,,,,,,,
Abbotsford,119/52 Nicholson St,u,254100.0,05/2016,3067.0,,,,,,,
Abbotsford,5/20 Abbotsford St,u,255600.0,08/2016,3067.0,1.0,1.0,1.0,0.0,,-37.8016,144.9988
Abbotsford,48 Abbotsford St,h,868500.0,08/2016,3067.0,3.0,3.0,1.0,166.0,2012.0,-37.8017,145.0001
Abbotsford,116/56 Nicholson St,u,274200.0,08/2016,3067.0,1.0,1.0,1.0,0.0,,-37.8078,144.9965
Abbotsford,159 Park St,h,681000.0,08/2016,3067.0,2.0,2.0,2.0,98.0,1920.0,-37.8005,144.9952
Abbotsford,49/84 Trenerry Cr,h,420000.0,04/2016,3067.0,,,,,,,
Abbotsford,31 Turner St,h,925200.0,09/2016,3067.0,4.0,3.0,1.0,0.0,,-37.7994,144.9965
Abbotsford,17/1 Abbot St,t,577200.0,02/2017,3067.0,,,,,,-37.7972,144.9969
Abbotsford,166 Gipps St,h,774000.0,02/2017,3067.0,3.0,2.0,2.0,147.0,,-37.805,144.9943
Abbotsford,60 Stafford St,h,774000.0,02/2017,3067.0,3.0,1.0,1.0,168.0,1950.0,-37.8007,144.9958
Abbotsford,11/205 Gipps St,u,282000.0,07/2016,3067.0,1.0,1.0,1.0,0.0,2013.0,-37.8055,144.9961
Abbotsford,47 Studley St,h,708000.0,11/2016,3067.0,2.0,1.0,0.0,162.0,1900.0,-37.8016,144.9956
Abbotsford,45 Yarra St,h,717000.0,11/2016,3067.0,3.0,2.0,1.0,120.0,1998.0,-37.8022,144.9954
Abbotsford,200 Nicholson St,h,607500.0,05/2016,3067.0,2.0,1.0,0.0,182.0,1900.0,-37.8021,144.9976
Abbotsford,82/84 Trenerry Cr,u,582000.0,05/2016,3067.0,,,,,,,
Abbotsford,27 Charles St,h,618000.0,07/2016,3067.0,2.0,1.0,1.0,172.0,1930.0,-37.8086,144.9946
Abbotsford,40/80 Trenerry Cr,h,556200.0,07/2016,3067.0,,,,,,,
Airport West,154 Halsey Rd,t,504000.0,09/2016,3042.0,3.0,2.0,1.0,303.0,2016.0,-37.718,144.878
Airport West,50 Bedford St,h,438000.0,12/2016,3042.0,3.0,2.0,1.0,0.0,1965.0,-37.7203,144.8755
Airport West,50 Bedford St,h,462000.0,03/2017,3042.0,3.0,2.0,1.0,0.0,1965.0,-37.7203,144.8755
Airport West,23 Hart St,h,361800.0,03/2017,3042.0,2.0,1.0,1.0,272.0,1950.0,-37.7294,144.888
Airport West,1/80 Hawker St,t,420000.0,03/2017,3042.0,3.0,2.0,2.0,239.0,2009.0,-37.7218,144.8837
Airport West,1/37 Hillside Gr,h,360000.0,03/2017,3042.0,2.0,1.0,1.0,290.0,1980.0,-37.7273,144.8744
Airport West,2/49 McIntosh St,u,300000.0,03/2017,3042.0,2.0,1.0,1.0,168.0,2011.0,-37.7215,144.8864
Airport West,4/9 West Ct,t,252000.0,06/2016,3042.0,,,,,,,
Airport West,1/36 York St,t,300000.0,06/2016,3042.0,,,,,,,
Airport West,33 Bowes Av,h,621000.0,08/2016,3042.0,,,,,,,
Airport West,89 Bowes Av,h,576000.0,08/2016,3042.0,,,,,,,
Airport West,45 Laurence Av,h,576000.0,08/2016,3042.0,,,,,,,
Airport West,54 Marshall Rd,h,432000.0,08/2016,3042.0,2.0,1.0,1.0,620.0,,-37.7173,144.8872
Airport West,36 Roberts Rd,h,471000.0,08/2016,3042.0,3.0,1.0,2.0,597.0,,-37.7259,144.8792
Airport West,11 Harrington Rd,h,435000.0,05/2016,3042.0,6.0,3.0,2.0,976.0,1980.0,-37.7239,144.8735
Airport West,2/252 Parer Rd,t,270000.0,05/2016,3042.0,2.0,1.0,1.0,110.0,2015.0,-37.7216,144.871
Airport West,3/19 Hart St,u,309000.0,11/2016,3042.0,2.0,1.0,1.0,141.0,2013.0,-37.7298,144.8883
Airport West,81a Roberts Rd,h,408000.0,10/2016,3042.0,,,,,,,
Airport West,2/62 Clydesdale Rd,u,318000.0,09/2016,3042.0,2.0,1.0,1.0,120.0,2012.0,-37.7234,144.8792
Airport West,3 Deidre Ct,h,537000.0,09/2016,3042.0,3.0,1.0,6.0,1063.0,1975.0,-37.7249,144.8728
Airport West,3/24 Elstone Av,u,360000.0,09/2016,3042.0,,,,,,,
Airport West,13 Etzel St,h,483000.0,12/2016,3042.0,3.0,1.0,1.0,0.0,1950.0,-37.7217,144.8783
Airport West,37a North St,t,456000.0,12/2016,3042.0,,,,,,,
Airport West,1/43 Cameron St,u,451200.0,02/2017,3042.0,3.0,1.0,1.0,265.0,1993.0,-37.7302,144.8855
Airport West,1/69 Bowes Av,u,348000.0,11/2016,3042.0,,,,,,,
Airport West,2/9 El Reno Cr,h,435000.0,11/2016,3042.0,,,,,,,
Airport West,92 McNamara Av,h,454800.0,08/2016,3042.0,,,,,,,
Airport West,145a Victory Rd,u,264000.0,08/2016,3042.0,2.0,1.0,1.0,192.0,,-37.7177,144.8787
Airport West,20 Creswell Av,h,582000.0,05/2016,3042.0,,,,,,,
Airport West,241 Parer Rd,h,453000.0,05/2016,3042.0,3.0,2.0,2.0,596.0,,-37.7248,144.8699
Airport West,71 Bowes Av,h,591000.0,10/2016,3042.0,,,,,,,
Airport West,2/40 Earl St,t,420000.0,10/2016,3042.0,3.0,2.0,2.0,165.0,2009.0,-37.727,144.887
Airport West,2/112 Parer Rd,u,305700.0,10/2016,3042.0,,,,,,,
Airport West,180 Parer Rd,h,498000.0,04/2016,3042.0,3.0,1.0,2.0,971.0,1960.0,-37.7186,144.876
Airport West,4/54 Hawker St,u,277500.0,07/2016,3042.0,2.0,1.0,1.0,164.0,2003.0,-37.7218,144.8863
Airport West,43 Hillside Gr,h,402000.0,07/2016,3042.0,3.0,2.0,2.0,657.0,,-37.7269,144.8742
Airport West,174 Parer Rd,h,405000.0,07/2016,3042.0,2.0,1.0,1.0,612.0,1975.0,-37.7187,144.8765
Airport West,138 Victory Rd,h,625200.0,07/2016,3042.0,3.0,2.0,5.0,612.0,1950.0,-37.7173,144.8796
Airport West,75 King St,h,546000.0,09/2016,3042.0,3.0,1.0,1.0,775.0,,-37.7231,144.8835
Airport West,6 Kittyhawk St,h,463800.0,09/2016,3042.0,5.0,3.0,4.0,531.0,1980.0,-37.7263,144.8679
Airport West,7 McNamara Av,h,429000.0,09/2016,3042.0,,,,,,,
Airport West,478 Fullarton Rd,h,486000.0,03/2017,3042.0,3.0,3.0,2.0,555.0,1980.0,-37.7285,144.8694
Airport West,144 Marshall Rd,h,429000.0,03/2017,3042.0,3.0,2.0,2.0,422.0,1995.0,-37.7164,144.8792
Airport West,106 Parer Rd,h,474000.0,03/2017,3042.0,3.0,1.0,3.0,614.0,,-37.7194,144.8827
