address,suburb,price,bedrooms,bathrooms,car_garage,sqft_lot,sqft_living,year_built,date_sold,zipcode,latitude,longitude
1 Acorn Place,South Lake,565000,4,2,2.0,600,160,2003.0,09/2018,6164,-32.1159,115.84245
1 Addis Way,Wandi,365000,3,2,2.0,351,139,2013.0,02/2019,6167,-32.19347028,115.8595535
1 Ainsley Court,Camillo,287000,3,1,1.0,719,86,1979.0,06/2015,6111,-32.12057813,115.993579
1 Albert Street,Bellevue,255000,2,1,2.0,651,59,1953.0,07/2018,6056,-31.90054675,116.0380088
1 Aman Place,Lockridge,325000,4,1,2.0,466,131,1998.0,11/2016,6054,-31.88579,115.94778
1 Amethyst Crescent,Mount Richon,409000,4,2,1.0,759,118,1991.0,03/2013,6112,-32.1538014,116.0236578
1 Ardara Lane,Hilbert,400000,3,2,2.0,386,132,2014.0,05/2016,6112,-32.17997786,115.9886473
1 Arnside Bend,Waikiki,370000,4,2,2.0,468,158,2013.0,03/2019,6169,-32.31766224,115.7619682
1 Arrochar Court,Hamersley,565000,4,2,3.0,875,168,1983.0,06/2020,6022,-31.84775987,115.8227005
1 Arundel Street,Bayswater,685000,3,2,8.0,552,126,1999.0,10/2019,6053,-31.91788,115.90705
1 Ash Road,Carmel,675000,4,2,6.0,2538,241,1977.0,07/2014,6076,-32.01574,116.08891
1 Ashcott Gate,Butler,367500,3,2,2.0,398,158,2003.0,11/2018,6036,-31.65428,115.7022
1 Ashcroft Way,Balga,300000,3,2,2.0,243,94,2008.0,12/2019,6061,-31.84964681,115.846314
1 Ashendon Boulevard,Hammond Park,535000,4,2,4.0,704,247,2002.0,07/2019,6164,-32.15959,115.84948
1 Ashtree Boulevard,Wattle Grove,540000,4,2,2.0,614,186,2004.0,05/2018,6107,-32.00294817,115.9836459
1 August Court,Bull Creek,685000,3,2,3.0,706,196,1985.0,11/2017,6149,-32.06458,115.86046
1 Avonlea Place,Bullsbrook,350000,4,2,2.0,663,154,1994.0,11/2017,6084,-31.66068818,116.0407159
1 Babbler Court,Maida Vale,570000,4,2,2.0,568,225,2003.0,10/2020,6057,-31.95242,116.0207
1 Balga Place,Koongamia,318000,2,1,3.0,751,90,1959.0,05/2013,6056,-31.90409,116.04213
1 Bamlett Street,Mount Nasura,379000,3,2,3.0,785,167,1977.0,08/2017,6112,-32.13247,116.0242
1 Banken Court,Forrestdale,387500,4,1,1.0,782,111,1981.0,04/2017,6112,-32.14885,115.94308
1 Barcroft Court,Atwell,465000,4,2,2.0,450,173,2000.0,08/2017,6164,-32.13768,115.86697
1 Bates Loop,Lockridge,325000,3,1,1.0,421,93,1972.0,08/2014,6054,-31.88355668,115.9542319
1 Batoni Way,Ashby,515000,3,2,2.0,388,160,2007.0,09/2014,6065,-31.7328966,115.7996371
1 Bayley Street,Woodbridge,610000,3,1,1.0,550,121,1920.0,04/2013,6056,-31.88948,115.99427
